accuracy,micro_avg_precision,micro_avg_recall,micro_avg_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,iteration,fold,data_type
0.8813333333333333,0.8813333333333333,0.8813333333333333,0.8813333333333333,0.9012319267216348,0.8813333333333333,0.87728217557003,13,5,test
0.8983333333333333,0.8983333333333333,0.8983333333333333,0.8983333333333333,0.9123947101380604,0.8983333333333332,0.8978910411609716,14,1,train
0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8919711902427402,0.8708333333333333,0.8704689380138892,14,1,val
0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8995289488991082,0.8833333333333334,0.882637198946402,14,1,test
0.895,0.895,0.895,0.895,0.9100629739320896,0.8950000000000001,0.8955509394299327,14,2,train
0.86,0.86,0.86,0.86,0.8814589855273887,0.86,0.8594907748853864,14,2,val
0.87,0.87,0.87,0.87,0.8897636005536775,0.8699999999999999,0.8699270054430566,14,2,test
0.8904166666666666,0.8904166666666666,0.8904166666666666,0.8904166666666666,0.9078410164389188,0.8904166666666666,0.8908580828555934,14,3,train
0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8784939350884343,0.8541666666666666,0.8546587939242821,14,3,val
0.868,0.868,0.868,0.868,0.8882583232875133,0.868,0.8690689061380953,14,3,test
0.7991666666666667,0.7991666666666667,0.7991666666666667,0.7991666666666667,0.8836450348651808,0.7991666666666667,0.7966135565356068,14,4,train
0.7808333333333334,0.7808333333333334,0.7808333333333334,0.7808333333333334,0.8635958258104702,0.7808333333333333,0.7743512892262944,14,4,val
0.77,0.77,0.77,0.77,0.8466174764678989,0.7700000000000001,0.7629462348048953,14,4,test
0.8995833333333333,0.8995833333333333,0.8995833333333333,0.8995833333333333,0.9113256007690196,0.8995833333333332,0.8977379468317584,14,5,train
0.87,0.87,0.87,0.87,0.8892435159034674,0.8700000000000001,0.8663780134364598,14,5,val
0.8706666666666667,0.8706666666666667,0.8706666666666667,0.8706666666666667,0.8892953389019291,0.8706666666666667,0.8684064492470795,14,5,test
0.9141666666666668,0.9141666666666668,0.9141666666666668,0.9141666666666668,0.91568634209298,0.9141666666666668,0.9125129222493576,15,1,train
0.89,0.89,0.89,0.89,0.8924002236378877,0.89,0.88891678676781,15,1,val
0.886,0.886,0.886,0.886,0.8879177155136884,0.8859999999999999,0.8841767649245273,15,1,test
0.9270833333333334,0.9270833333333334,0.9270833333333334,0.9270833333333334,0.9325482528478723,0.9270833333333334,0.926869757707136,15,2,train
0.9008333333333334,0.9008333333333334,0.9008333333333334,0.9008333333333334,0.9077184738487236,0.9008333333333332,0.9002540738652403,15,2,val
0.8986666666666666,0.8986666666666666,0.8986666666666666,0.8986666666666666,0.9067428039218154,0.8986666666666666,0.8980692460221051,15,2,test
0.8939583333333333,0.8939583333333333,0.8939583333333333,0.8939583333333333,0.9021520508387628,0.8939583333333333,0.8932172088403044,15,3,train
0.87,0.87,0.87,0.87,0.8786715355122652,0.8699999999999999,0.8691394351841651,15,3,val
0.8673333333333333,0.8673333333333333,0.8673333333333333,0.8673333333333333,0.8780822768186771,0.8673333333333334,0.8665250460590009,15,3,test
0.8897916666666666,0.8897916666666666,0.8897916666666666,0.8897916666666666,0.9019997680622848,0.8897916666666668,0.8899456928821536,15,4,train
0.8616666666666667,0.8616666666666667,0.8616666666666667,0.8616666666666667,0.8804836584046232,0.8616666666666667,0.8623084240332071,15,4,val
